video_id,url,title,character,notes
1,https://youtu.be/B32pQUoRceo?si=JpG7CVnF0SK7Thhi,Billi Maasi Does Stand Up Comedy,billi_maasi,full video is in character
2,https://youtu.be/FkYO7v8K1Ek?si=64Xf0Nrbm_EtiPO4,Billi Maasi And Chanayi's Solution To Delhi's Pollution,billi_maasi,Convo 
3,https://youtu.be/BYVX__eExSg?si=uNbIzq79S17NLVpt,Billi Maasi And Chanayi's Guide To True Love,billi_maasi,Convo 
4,https://youtu.be/vs4HkRThUnY?si=n_jBVNrVELg70tgW,Billi & Chanayi During Lockdown,billi_maasi,Convo
5,https://youtu.be/JrHLzX2Vqe0?si=93R5DOoBg522jeCs,Billi Maasi Met Abhishek Bachchan,billi_maasi,
6,https://youtu.be/cFECPgVTOAs?si=WsIK0UABDzrUIXbe,Shilpa Shetty Kundra Gives Billi Maasi Some Relationship Advice!,billi_maasi,Convo between them
7,https://youtu.be/sT6qoeOvXNk?si=BFGKk3NK2pPQnU5S,Things West Delhi Girls Say,west_delhi_girl,
8,https://youtu.be/WGjEhJMTIj8?si=YNUUEbfYIodfQRKk,West Delhi Girls - Valentine's Day Edition,west_delhi_girl,
9,https://youtu.be/DRzsfqr_4H4?si=8GbiNr7iMsxFQdwi,West Delhi Girls | Holi Edition,west_delhi_girl,
10,https://youtu.be/0Np5bHJc_tU?si=NuTzEFOnhjfnr8Gc,West Delhi's DJ Aarti Is Back,west_delhi_girl,
11,https://youtu.be/Ah_7hp4kJmE?si=2nZUVJh8lJD9aibr,DJ Aarti Opens Club Dhikchik With Brain Baazi Money,west_delhi_girl,
12,https://youtu.be/A6topxBzFcs?si=7cAu6MDvt9Hv5_mU,West Delhi Girl DJ Aarti's Mata Rani Mix,west_delhi_girl,
